TIME,N_0:1,N_2:1,N_8:1
33.8,20103.45305587,10810.70043746,820.45628183
33.9,20740.59956892,11037.97978193,811.95186788
34,21397.90651019,11270.03042929,803.53560617
34.1,22076.00967086,11506.95225005,795.20658295
34.2,22775.56475622,11748.84719262,786.96389397
34.3,23497.24800049,11995.81932606,778.80664433
34.4,24241.75680027,12247.97488362,770.73394841
34.5,25009.81036673,12505.42230719,762.74492976
34.6,25802.15039737,12768.27229256,754.83872104
34.7,26619.54176776,13036.63783569,747.01446388
34.8,27462.77324378,13310.63427985,739.27130882
34.9,28332.65821506,13590.37936364,731.60841519
35,29230.03544995,13875.99327011,724.02495105
35.1,30155.76987294,14167.59867667,716.52009307
35.2,31110.75336481,14465.32080619,709.09302646
35.3,32095.90558632,14769.2874789,701.74294488
35.4,33112.17482598,15079.62916554,694.46905034
35.5,34160.53887256,15396.47904133,687.27055313
35.6,35242.00591303,15719.97304119,680.14667172
35.7,36357.61545643,16050.24991597,673.09663269
35.8,37508.43928456,16387.45128976,666.11967061
35.9,38695.58243006,16731.72171835,659.21502802
36,39920.18418245,17083.2087489,652.38195528
36.1,41183.41912316,17442.06298063,645.61971055
36.2,42486.49818989,17808.43812684,638.92755966
36.3,43830.66977129,18182.49107807,632.30477605
36.4,45217.22083263,18564.38196649,625.75064069
36.5,46647.47807306,18954.27423153,619.26444202
36.6,48122.80911547,19352.33468685,612.84547585
36.7,49644.62372951,19758.73358852,606.49304527
36.8,51214.37508856,20173.64470456,600.20646061
36.9,52833.56106155,20597.24538581,593.98503934
37,54503.72554026,21029.71663819,587.82810603
37.1,56226.45980295,21471.2431963,581.73499222
37.2,58003.40391517,21922.01359847,575.70503639
37.3,59836.24816839,22382.22026321,569.73758387
37.4,61726.73455739,22852.05956715,563.83198681
37.5,63676.6582971,23331.73192443,557.98760402
37.6,65687.86937976,23821.44186764,552.203801
37.7,67762.27417308,24321.39813024,546.47994981
37.8,69901.83706032,24831.81373058,540.81542903
37.9,72108.58212293,25352.90605748,535.20962366
38,74384.59486655,25884.89695741,529.66192508
38.1,76732.02399122,26428.01282333,524.17173101
38.2,79153.08320639,26982.48468516,518.73844537
38.3,81650.05309152,27548.54830198,513.36147828
38.4,84225.28300297,28126.44425585,508.04024598
38.5,86881.19302786,28716.4180475,502.77417075
38.6,89620.27598553,29318.72019366,497.56268086
38.7,92445.0994772,29933.60632627,492.4052105
38.8,95358.30798448,30561.33729345,487.30119974
38.9,98362.62501718,31202.17926234,482.25009444
39,101460.85531104,31856.40382384,477.25134622
39.1,104655.88707571,32524.28809919,472.30441237
39.2,107950.69429343,33206.11484852,467.4087558
39.3,111348.33906885,33902.17258134,462.56384501
39.4,114851.97403006,34612.75566905,457.769154
39.5,118464.8447812,35338.16445936,453.0241622
39.6,122190.29240675,36078.70539289,448.32835447
39.7,126031.75602746,36834.6911217,443.68122098
39.8,129992.77540798,37606.44062999,439.08225722
39.9,134076.99361597,38394.27935691,434.53096387
40,138288.15973236,39198.5393215,430.0268468
40.1,142630.13161262,40019.55924979,425.56941703
40.2,147106.8786982,40857.68470417,421.1581906
40.3,151722.48487776,41713.26821489,416.7926886
