TIME,NIC:1,NIA:1,NIE:1
27.1,0.17499465,12.24217827,7.01383676
27.2,0.18054257,12.63005338,7.23602281
27.3,0.18626616,13.03019374,7.46523237
27.4,0.19217095,13.44298565,7.70168651
27.5,0.19826267,13.86882748,7.94561316
27.6,0.20454722,14.30813005,8.1972474
27.7,0.21103068,14.76131697,8.45683159
27.8,0.21771933,15.22882509,8.72461569
27.9,0.22461965,15.71110485,9.00085738
28,0.23173831,16.20862075,9.2858224
28.1,0.2390822,16.72185174,9.57978472
28.2,0.24665841,17.25129166,9.88302684
28.3,0.25447428,17.79744972,10.19584001
28.4,0.26253736,18.36085095,10.51852452
28.5,0.27085544,18.94203667,10.85138997
28.6,0.27943654,19.54156502,11.19475554
28.7,0.28828895,20.16001142,11.54895028
28.8,0.29742123,20.79796915,11.91431343
28.9,0.30684217,21.45604981,12.2911947
29,0.31656086,22.13488397,12.67995459
29.1,0.32658667,22.83512166,13.08096471
29.2,0.33692926,23.55743298,13.49460813
29.3,0.34759858,24.30250871,13.9212797
29.4,0.35860492,25.07106094,14.36138642
29.5,0.36995886,25.86382366,14.81534776
29.6,0.38167132,26.68155347,15.28359609
29.7,0.39375356,27.52503019,15.76657701
29.8,0.40621719,28.39505761,16.26474977
29.9,0.41907418,29.29246415,16.77858765
30,0.43233686,30.21810362,17.30857838
30.1,0.44601797,31.17285594,17.85522458
30.2,0.46013061,32.15762794,18.41904416
30.3,0.4746883,33.17335411,19.00057078
30.4,0.489705,34.22099743,19.60035432
30.5,0.50519507,35.30155019,20.21896132
30.6,0.52117331,36.41603487,20.85697548
30.7,0.53765501,37.56550496,21.51499815
30.8,0.5546559,38.75104589,22.19364883
30.9,0.57219221,39.97377596,22.89356569
31,0.59028066,41.23484725,23.61540608
31.1,0.60893849,42.53544658,24.35984711
31.2,0.62818346,43.87679655,25.12758618
31.3,0.64803388,45.26015649,25.91934153
31.4,0.66850863,46.68682354,26.73585287
31.5,0.68962715,48.1581337,27.57788193
31.6,0.71140948,49.67546289,28.44621311
31.7,0.73387627,51.24022812,29.34165405
31.8,0.75704879,52.85388855,30.26503632
31.9,0.78094899,54.51794674,31.21721602
32,0.80559945,56.23394977,32.19907449
32.1,0.83102344,58.00349048,33.21151894
32.2,0.85724496,59.82820872,34.25548319
32.3,0.8842887,61.70979261,35.33192833
32.4,0.91218011,63.64997983,36.44184348
32.5,0.94094543,65.65055894,37.58624647
32.6,0.97061165,67.71337076,38.76618465
32.7,1.00120659,69.84030966,39.9827356
32.8,1.0327589,72.03332507,41.2370079
32.9,1.06529809,74.2944228,42.53014196
