TIME,I_8:1,I_7:1,I_grad:1
27.6,233.07138328,346.55692569,1068.38684316
27.7,230.65613311,344.75656851,1068.38631688
27.8,228.26591142,342.9655639,1068.38578621
27.9,225.90045883,341.18386327,1068.38525112
28,223.55951869,339.4114183,1068.38471163
28.1,221.24283698,337.64818091,1068.38416772
28.2,218.95016232,335.89410326,1068.38361942
28.3,216.68124592,334.14913777,1068.3830667
28.4,214.4358416,332.41323712,1068.38250958
28.5,212.2137057,330.68635421,1068.38194805
28.6,210.0145971,328.9684422,1068.38138211
28.7,207.83827717,327.2594545,1068.38081176
28.8,205.68450978,325.55934473,1068.38023701
28.9,203.5530612,323.86806679,1068.37965785
29,201.44370017,322.1855748,1068.37907428
29.1,199.35619779,320.51182311,1068.3784863
29.2,197.29032755,318.84676633,1068.37789392
29.3,195.24586529,317.19035929,1068.37729713
29.4,193.22258916,315.54255706,1068.37669593
29.5,191.22027961,313.90331494,1068.37609033
29.6,189.23871939,312.27258845,1068.37548032
29.7,187.27769346,310.65033338,1068.3748659
29.8,185.33698904,309.0365057,1068.37424707
29.9,183.41639554,307.43106166,1068.37362384
30,181.51570457,305.83395768,1068.3729962
30.1,179.63470987,304.24515046,1068.37236415
30.2,177.77320735,302.66459688,1068.37172769
30.3,175.93099501,301.09225409,1068.37108683
30.4,174.10787295,299.52807942,1068.37044156
30.5,172.30364335,297.97203045,1068.36979188
30.6,170.51811043,296.42406497,1068.36913779
30.7,168.75108045,294.88414097,1068.3684793
30.8,167.00236166,293.35221671,1068.3678164
30.9,165.27176432,291.8282506,1068.3671491
31,163.55910063,290.31220133,1068.36647738
31.1,161.86418475,288.80402775,1068.36580126
31.2,160.18683277,287.30368897,1068.36512074
31.3,158.52686269,285.81114428,1068.3644358
31.4,156.88409437,284.32635319,1068.36374646
31.5,155.25834957,282.84927543,1068.36305271
31.6,153.64945187,281.37987092,1068.36235455
31.7,152.05722669,279.91809982,1068.36165199
31.8,150.48150127,278.46392246,1068.36094502
31.9,148.92210461,277.0172994,1068.36023364
32,147.37886751,275.57819139,1068.35951786
32.1,145.85162252,274.1465594,1068.35879767
32.2,144.3402039,272.7223646,1068.35807307
32.3,142.84444767,271.30556835,1068.35734406
32.4,141.36419151,269.89613221,1068.35661065
32.5,139.8992748,268.49401795,1068.35587283
32.6,138.44953859,267.09918754,1068.3551306
32.7,137.01482556,265.71160314,1068.35438397
32.8,135.59498003,264.33122712,1068.35363293
32.9,134.18984794,262.95802201,1068.35287748
33,132.79927681,261.59195058,1068.35211763
33.1,131.42311577,260.23297577,1068.35135337
33.2,130.06121546,258.88106071,1068.3505847
33.3,128.71342813,257.53616873,1068.34981162
33.4,127.37960752,256.19826334,1068.34903414
33.5,126.0596089,254.86730826,1068.34825225
33.6,124.75328903,253.54326737,1068.34746596
33.7,123.46050616,252.22610476,1068.34667526
33.8,122.18112003,250.91578471,1068.34588015
33.9,120.91499179,249.61227166,1068.34508063
34,119.66198407,248.31553025,1066.48957952
34.1,118.4219609,247.02552531,1055.43757489
34.2,117.19478772,245.74222185,1044.50010085
34.3,115.98033137,244.46558504,1033.67597054
34.4,114.77846008,243.19558027,1022.96400942
34.5,113.58904343,241.93217308,1012.36305512
34.6,112.41195236,240.67532919,1001.8719573
34.7,111.24705913,239.42501451,991.48957755
34.8,110.09423735,238.18119513,981.21478927
34.9,108.95336192,236.94383729,971.04647751
35,107.82430906,235.71290745,960.98353889
35.1,106.70695623,234.4883722,951.02488145
35.2,105.60118221,233.27019833,941.16942456
35.3,104.506867,232.05835278,931.41609878
35.4,103.42389186,230.8528027,921.76384575
35.5,102.35213927,229.65351536,912.21161809
35.6,101.29149295,228.46045825,902.75837925
35.7,100.24183779,227.273599,893.40310343
35.8,99.2030599,226.0929054,884.14477549
35.9,98.17504657,224.91834543,874.98239076
36,97.15768624,223.74988724,865.91495501
36.1,96.15086851,222.58749911,856.94148432
36.2,95.15448415,221.43114952,848.06100494
36.3,94.16842503,220.2808071,839.27255322
36.4,93.19258415,219.13644064,830.57517551
