TIME,I_8:1,I_65:1
52.1,18.16019601,223.24865176
52.2,17.97200688,222.66792652
52.3,17.78576791,222.08871175
52.4,17.60145888,221.51100351
52.5,17.41905979,220.93479789
52.6,17.23855086,220.36009098
52.7,17.05991249,219.78687888
52.8,16.8831253,219.21515772
52.9,16.70817011,218.6449236
53,16.53502793,218.07617266
53.1,16.36367997,217.50890105
53.2,16.19410764,216.94310492
53.3,16.02629255,216.37878043
53.4,15.86021648,215.81592375
53.5,15.69586141,215.25453107
53.6,15.5332095,214.69459858
53.7,15.37224311,214.13612248
53.8,15.21294478,213.57909899
53.9,15.0552972,213.02352433
54,14.89928329,212.46939472
54.1,14.7448861,211.91670642
54.2,14.59208889,211.36545567
54.3,14.44087508,210.81563874
54.4,14.29122825,210.2672519
54.5,14.14313217,209.72029142
54.6,13.99657077,209.1747536
54.7,13.85152815,208.63063474
54.8,13.70798856,208.08793115
54.9,13.56593643,207.54663914
55,13.42535635,207.00675506
55.1,13.28623306,206.46827523
55.2,13.14855147,205.931196
55.3,13.01229664,205.39551374
55.4,12.87745378,204.8612248
55.5,12.74400825,204.32832557
55.6,12.61194559,203.79681243
55.7,12.48125145,203.26668178
55.8,12.35191167,202.73793002
55.9,12.22391219,202.21055356
56,12.09723914,201.68454884
56.1,11.97187876,201.15991227
56.2,11.84781747,200.63664031
56.3,11.72504178,200.11472941
56.4,11.60353838,199.59417601
56.5,11.4832941,199.07497661
56.6,11.36429587,198.55712767
56.7,11.24653078,198.04062568
56.8,11.12998606,197.52546713
56.9,11.01464907,197.01164855
57,10.90050728,196.49916643
57.1,10.78754831,195.98801731
57.2,10.6757599,195.47819772
57.3,10.56512992,194.96970419
57.4,10.45564638,194.46253329
57.5,10.34729738,193.95668157
57.6,10.24007117,193.45214561
57.7,10.13395611,192.94892197
57.8,10.0289407,192.44700725
57.9,9.92501354,191.94639804
58,9.82216334,191.44709095
58.1,9.72037895,190.94908259
58.2,9.61964932,190.45236959
58.3,9.51996353,189.95694857
58.4,9.42131076,189.46281618
58.5,9.32368029,188.96996906
58.6,9.22706155,188.47840387
58.7,9.13144404,187.98811728
58.8,9.03681738,187.49910596
58.9,8.94317132,187.01136659
59,8.85049568,186.52489588
59.1,8.75878042,186.03969051
59.2,8.66801557,185.5557472
59.3,8.5781913,185.07306267
59.4,8.48929785,184.59163364
59.5,8.40132558,184.11145685
59.6,8.31426494,183.63252903
59.7,8.22810649,183.15484695
59.8,8.14284088,182.67840736
59.9,8.05845885,182.20320703
60,7.97495124,181.72924274
60.1,7.892309,181.25651128
60.2,7.81052317,180.78500943
60.3,7.72958485,180.314734
60.4,7.64948528,179.8456818
60.5,7.57021576,179.37784965
60.6,7.49176768,178.91123437
60.7,7.41413254,178.44583281
60.8,7.33730192,177.9816418
60.9,7.26126746,177.5186582
61,7.18602094,177.05687886
61.1,7.11155417,176.59630066
61.2,7.03785908,176.13692046
61.3,6.96492767,175.67873517
61.4,6.89275203,175.22174166
61.5,6.82132433,174.76593683
61.6,6.75063681,174.31131761
61.7,6.68068181,173.8578809
61.8,6.61145173,173.40562362
61.9,6.54293906,172.95454271
62,6.47513637,172.50463512
62.1,6.40803631,172.05589779
62.2,6.34163158,171.60832767
62.3,6.27591499,171.16192173
62.4,6.2108794,170.71667694
62.5,6.14651775,170.27259029
62.6,6.08282307,169.82965875
62.7,6.01978844,169.38787934
62.8,5.95740702,168.94724904
62.9,5.89567204,168.50776487
63,5.8345768,168.06942386
63.1,5.77411468,167.63222302
63.2,5.7142791,167.1961594
63.3,5.65506359,166.76123003
63.4,5.59646172,166.32743197
63.5,5.53846711,165.89476226
63.6,5.48107349,165.46321799
63.7,5.42427463,165.03279622
63.8,5.36806435,164.60349403
63.9,5.31243657,164.17530851
64,5.25738524,163.74823675
64.1,5.2029044,163.32227587
64.2,5.14898812,162.89742296
64.3,5.09563056,162.47367516
64.4,5.04282594,162.05102957
64.5,4.99056851,161.62948335
64.6,4.93885261,161.20903363
64.7,4.88767264,160.78967755
64.8,4.83702302,160.37141227
64.9,4.78689827,159.95423496
65,4.73729295,159.53814279
65.1,4.68820168,159.12313293
65.2,4.63961913,158.70920256
65.3,4.59154003,158.29634889
65.4,4.54395915,157.88456912
65.5,4.49687135,157.47386044
65.6,4.4502715,157.06422007
65.7,4.40415455,156.65564523
65.8,4.3585155,156.24813316
65.9,4.3133494,155.84168109
66,4.26865133,155.43628626
66.1,4.22441647,155.03194593
66.2,4.18063999,154.62865734
66.3,4.13731716,154.22641777
66.4,4.09444328,153.82522448
66.5,4.05201368,153.42507476
66.6,4.01002377,153.02596589
66.7,3.96846899,152.62789516
66.8,3.92734483,152.23085988
66.9,3.88664683,151.83485734
67,3.84637057,151.43988488
67.1,3.80651168,151.04593979
67.2,3.76706584,150.65301943
67.3,3.72802877,150.26112111
67.4,3.68939623,149.87024218
67.5,3.65116402,149.48037999
67.6,3.61332801,149.09153189
67.7,3.57588408,148.70369526
67.8,3.53882817,148.31686745
67.9,3.50215626,147.93104584
68,3.46586437,147.54622782
68.1,3.42994856,147.16241077
68.2,3.39440494,146.7795921
68.3,3.35922965,146.39776921
68.4,3.32441887,146.01693949
68.5,3.28996883,145.63710039
68.6,3.25587578,145.25824931
68.7,3.22213603,144.88038368
68.8,3.18874592,144.50350095
68.9,3.15570181,144.12759856
69,3.12300014,143.75267395
69.1,3.09063734,143.37872459
69.2,3.05860991,143.00574794
69.3,3.02691437,142.63374147
69.4,2.99554728,142.26270265
69.5,2.96450525,141.89262897
69.6,2.93378489,141.52351792
69.7,2.90338288,141.15536699
69.8,2.87329591,140.78817369
69.9,2.84352073,140.42193552
70,2.8140541,140.05665001
70.1,2.78489283,139.69231468
70.2,2.75603375,139.32892704
70.3,2.72747372,138.96648465
70.4,2.69920966,138.60498504
70.5,2.67123849,138.24442575
70.6,2.64355717,137.88480435
70.7,2.61616271,137.52611839
70.8,2.58905213,137.16836544
70.9,2.56222249,136.81154307
71,2.53567088,136.45564887
71.1,2.50939441,136.10068041
71.2,2.48339025,135.7466353
71.3,2.45765555,135.39351113
71.4,2.43218754,135.0413055
71.5,2.40698344,134.69001603
71.6,2.38204053,134.33964033
71.7,2.3573561,133.99017602
71.8,2.33292746,133.64162074
71.9,2.30875197,133.29397213
72,2.284827,132.94722781
72.1,2.26114996,132.60138545
72.2,2.23771828,132.2564427
72.3,2.21452942,131.9123972
72.4,2.19158086,131.56924665
72.5,2.1688701,131.22698869
72.6,2.1463947,130.88562102
72.7,2.12415219,130.54514131
72.8,2.10214018,130.20554727
72.9,2.08035628,129.86683657
73,2.05879812,129.52900694
73.1,2.03746335,129.19205607
73.2,2.01634968,128.85598168
73.3,1.9954548,128.52078148
73.4,1.97477644,128.18645322
73.5,1.95431237,127.85299461
73.6,1.93406037,127.5204034
73.7,1.91401823,127.18867733
73.8,1.89418378,126.85781415
73.9,1.87455487,126.52781161
74,1.85512937,126.19866748
74.1,1.83590517,125.87037953
74.2,1.81688019,125.54294553
74.3,1.79805236,125.21636325
74.4,1.77941963,124.89063048
74.5,1.76097999,124.56574502
74.6,1.74273144,124.24170465
74.7,1.72467199,123.91850719
74.8,1.70679968,123.59615043
74.9,1.68911258,123.27463219
75,1.67160877,122.95395029
75.1,1.65428634,122.63410256
75.2,1.63714343,122.31508682
75.3,1.62017816,121.99690092
75.4,1.60338869,121.67954269
75.5,1.58677321,121.36300998
75.6,1.57032992,121.04730064
75.7,1.55405702,120.73241253
75.8,1.53795275,120.41834352
75.9,1.52201536,120.10509147
76,1.50624313,119.79265427
76.1,1.49063435,119.48102978
76.2,1.47518731,119.17021591
76.3,1.45990035,118.86021053
76.4,1.4447718,118.55101154
76.5,1.42980002,118.24261686
76.6,1.4149834,117.93502438
76.7,1.40032031,117.62823202
76.8,1.38580917,117.32223771
76.9,1.37144841,117.01703935
77,1.35723647,116.71263489
77.1,1.34317179,116.40902225
77.2,1.32925287,116.10619939
77.3,1.31547819,115.80416423
77.4,1.30184625,115.50291475
77.5,1.28835557,115.20244888
77.6,1.27500469,114.9027646
77.7,1.26179217,114.60385987
77.8,1.24871656,114.30573267
77.9,1.23577645,114.00838096
78,1.22297044,113.71180274
78.1,1.21029713,113.41599599
78.2,1.19775515,113.12095871
78.3,1.18534314,112.82668889
78.4,1.17305975,112.53318454
78.5,1.16090365,112.24044367
78.6,1.14887353,111.94846428
78.7,1.13696806,111.65724441
78.8,1.12518597,111.36678208
78.9,1.11352598,111.0770753
79,1.10198681,110.78812213
79.1,1.09056723,110.4999206
79.2,1.07926597,110.21246875
79.3,1.06808184,109.92576464
79.4,1.0570136,109.63980631
79.5,1.04606005,109.35459184
79.6,1.03522002,109.07011928
79.7,1.02449232,108.78638671
79.8,1.01387578,108.50339219
79.9,1.00336926,108.22113382
80,0.99297162,107.93960967
